Via Torretta,30
Via Exilles,-1
Via Flora Manfrinati,30
Via Andrea Pisano,-1
Via Giaveno,30
Via Maestra,30
Via Moncalvo,30
Via Luigi Einaudi,30
Via Giovanni Duprè,-1
Via Bernardo De Canal,30
Strada della Venaria,-1
Strada Vajors,-1
Via Boccaccio,30
Via Marengo,30
Via Franzoj,30
Via Verona,30
Strada delle Traverse,30
Via Novara,30
Corso Italia,30
Via Foglizzo,-1
Via Paolo Gorini,-1
il poggio,-1
Strada Privata Nasi,30
Via delle Querce,30
Via Crescentino,30
Piazza Francesco Borromini,30
Piazzale Antonio Chiribiri,-1
Via Conte Emanuele Thesauro,30
Via Serrano,-1
Viale Antonio Gramsci,50
Strada dell'Aeroporto,50
Via Stellone,30
Piazza Bruno Trentin,-1
Via Tinivella,30
Lungo Po Armando Diaz,-1
Strada della Merla,-1
Via Giovanni Botero,-1
Via Costaguta,30
Strada dei Paletti,-1
Padana Superiore,90
Strada Rigolino,-1
Via Felice Briccarello,30
Corso Unità d'Italia,70
Strada Comunale Val San Martino Superiore,-1
Via Giuseppe Cavallo,50
Via Alfonso Balzico,30
Strada Commenda,-1
Piazza Luigi Ughetto,-1
Via Grado,30
Via Prunotto,30
Viale Colli,50
Via Colgiansesco,-1
Via Paesi Bassi,30
Via Bardonecchia, 77,30
Via Garavella,30
Via Oropa int. 58,30
Via Roccabruna,30
Via Solferino,30
Piazza Castello,-1
Via della Ginestra,30
Passaggio privato Arnaz,-1
Via Vicenza,-1
Piazzale Carena,-1
Via Tassoni,30
Piazza Santa Giulia,30
Via Giovanni Schiaparelli,30
Via Gaetano Donizetti,30
Via Don Tommaso Masera,30
Largo Casteldelfino,-1
Via Bossolasco,30
Strada Chieri Pecetto,-1
Via Giro',30
La Giassera,-1
Strada Miravalle,30
Piazza Bruno Caccia,-1
vicolo San Michele,30
Via Cervinia,30
Via Pragelato,-1
Via Don San Febbraro,30
Via Foligno,-1
Via Toscana,-1
Via Balbo,50
Corso Appio Claudio,30
Circonvallazione,-1
Via Canonico Giuseppe Chiadò,30
Via San Giovanni Battista La Salle,-1
Via Brignole,30
Via Volontari italiani del sangue,30
Strada Signagatta,-1
Via Riva del Garda,30
Via Siegert Aloise,30
Via Mirafiori,30
Via Clemente Damiano Priocca,50
Via Vittorio Amedeo Gioanetti,-1
Via Lussimpiccolo,30
Via San Vittore,-1
Via Francesco Ladetto,30
Strada al Traforo di Pino,70
Piazzale Regina Margherita,30
Via Giuseppe Verdi,30
Via Salvatore Quasimodo,30
Via Lose,-1
Strada Vicinale della Campagna,30
Viale dei Tigli,30
Via Gaspare Grandi,30
Via Pietro Egidi,-1
1A,-1
Corso Svizzera,50
Via Gavuzzi,30
Via Amerigo Vespucci,30
Via Sebastiano Grandis,30
Via Vincenzo Vela,30
Via Bricco Briot,-1
Via Alessandro Antonelli,30
Vicolo Verde,-1
Via Nuova Collegiata,30
Via Alfonso Badini Confalonieri,-1
Corso Unione Sovietica 252 bis,30
Via Pietro Toselli,30
Sentiero della lepre,-1
Strada Borgaretto,50
Viale della Repubblica,30
Via Bra,30
Via Eusebio Garizio,30
Pronto Soccorso - Emergency,-1
Via Tre Re,-1
Via Nazioni Unite,-1
Corso Spezia,50
Via Carlo Capelli,-1
Strada Basse di Stura,30
Via Mompantero,-1
Strada Provinciale Grugliasco Rivalta,50
Via Cavarzere,-1
Via Santa Caterina,30
Via Castagneri,30
Via Giuseppe Talucchi,30
Piazza Adriano,-1
Via Pietro Rolle,-1
Via Cervino,30
Via Italia,50
Via Giovanni Berchet,30
Strada Basse Dora,-1
Via Tirreno 155,30
Via Podio,-1
Via Sacra di San Michele,-1
Corso Luigi Settembrini,-1
Via Desana,-1
Corso Giovanni Pascoli,30
Via Giacomo Puccini,30
Piazza Massaua,-1
Passerella ciclopedonale sul Rio della Valle,-1
Via Umberto Saba,-1
Via Sordevolo,30
Via Giorgio La Pira,30
Strada Antica di Grugliasco,50
Piazza Di Vittorio,-1
Strada Madonna,-1
Via Luigi des Ambrois,-1
Via dei Colli,50
Via Muzzano,30
Via Fenoglio,30
Via Giuseppe Baretti,30
Via Giuseppe Sirtori,30
Via Gaspero Barbera,-1
Piazza Ruggero Bonghi,-1
Via Adolfo Arduino,30
Via San Bernardino,30
Via Chialamberto,-1
Via Monteponi,30
via Mappano,-1
Via Carlo Martinotti,-1
Via Rocca de Baldi,30
Via Nenni,-1
243,-1
strada Pagliare,-1
Via Limone,-1
Strada Sanda,30
Via Pietro Amateis,-1
Via Pescarito,30
Via Jacopo Jaquerio,30
Via Enrico Cavaglià,30
Strada 8,-1
Parco Ignazio Michelotti,-1
Via Alessandro Filippa,30
Via 1 maggio,50
Strada 3,-1
Via Enrico Toti,30
Strada 1,-1
Via Carlo Bossoli,50
Strada 7,-1
Tangenziale Nord,130
Strada 5,-1
Strada 4,-1
Pista ciclabile di Lungo Po Antoneli,-1
Via Albussano,30
Via Maria Teresa Fornasio,30
Via Carmagnola,30
Viale Primo Maggio,-1
Via Buffa,30
Via Ducale,30
Strada Confignasco,-1
Strada Mongina,30
Passeggiata Don Modesto Scaccabarozzi,-1
Via Giovanni Antonio Amadeo,30
Via Giovanni Schiapparelli,30
Via Regione Fiore,30
Vicolo degli Orti,30
via Menaluna,30
Via San Bartolomeo,-1
Viale Madonna di Campagna,30
Via Castellazzo,50
Via Vittorio Bottego,30
Corso Rodolfo Montevecchio,-1
Via Moncanino,-1
Via Zino Zini,50
Via Giovanni Poggio,-1
Via Malandrino,30
Piazza Stampalia,50
Via Gianbattista Niccolini,-1
Via Guerrino Nicoli,30
Piazza Enrico Toti,30
Via Umberto Balestreri,30
Via Gravere,-1
Via Giuseppe Luigi Lagrange,-1
Via Giorgio Pallavicino,30
Via Pergolesi,-1
Via Ferdinando Micheli,30
Via Giovanni Tommaso Terraneo,-1
Via Bene Vagienna,-1
Via Pianezza,30
Via Quinto della Robbia,-1
Via Stupinigi (interno),30
