Piazza San Giorgio dei Genovesi,30
Via Francesco De Sanctisw,-1
Via Villa Barbera,30
Via Ludovico Antonio Muratori,30
Via Chiavettieri,-1
Piazzetta San Giorgio,-1
Via Principe di San Giuseppe,30
Via Ausonia,-1
Via Antonio De Saliba,30
Via Chiappara al Carmine,30
Via Michele Piazza,30
Via Castrofilippo,30
Via Santa Maria del Piliero,30
Via Sabotino,30
Via Ruffo di Calabria,-1
Via Enrico Ferruzza,-1
Via Vincenzo Barbera,30
Via San Giosafat,30
Viale Praga,30
Largo Siviglia,30
Via Calascibetta,30
Vicolo Agalbato,30
Via Filippo Orioles,30
Vicolo del Bosco,-1
Via Pandolfini,-1
Via Giovanni Bonanno,30
Via Vito Sorba,30
Piazzale Ungheria,30
Vicolo Stalluzza,-1
Via Marchese di Roccaforte,-1
Piazza Bellini,-1
Porta dei Greci,30
Via Pastore Giulio,30
Via Briuccia,30
Piazza Matteotti,-1
Via Benedetto Civiletti,30
Via Lampionelli,30
Piazza Thomas Edison,30
Via Ferrari orsi,-1
Via Giuseppe Basile,30
Via Saverio Landolina,30
Via Carmelo Lazzaro,30
Via Rosselli,30
Via Pindemonte,-1
Via Stazzone,30
Vicolo Pilicelli,-1
Vicolo Lo Castro,30
Piazza Vittorio Veneto,-1
Vicolo Greco,-1
Piazza Virgilio,50
Via Giovanni Aurispa,30
Via Gioacchino di Marzo,30
Via Isidoro La Lumia,30
Via Saverio Cavallari,30
Via Guglielmo Albimonte,30
Via Vann'antò,30
Via Vittorio Alfieri,30
Via Felice Bisazza,30
Via dei Frangiai,-1
Piazzetta Saponeria,30
Via Ruggerone da Palermo,30
Piazzetta Casa Professa,30
Via Alessandro La Marmora,30
Via Cutò,30
Via Altofonte,50
Via Carlo Alberto Garufi,30
Via Luigi Giannettino,30
Discesa dei Giovenchi,30
Piazza Sant'Oliva,30
Via Umberto I,50
Piazza Castelnuovo,50
Vicolo dell'Abbadia,-1
Via Giuseppe Ingegneros,30
Cortile Lampedusa,30
Piazza San Giovanni Decollato,30
Via Pippo Rizzo,-1
Piazza Papireto,30
Vicolo San Giovanni Crisostomo,-1
Via Luigi Sarullo,-1
Via Gian Filippo Ingrassia,-1
Via Houel,-1
Via Natale Mondo,30
Via Miceli,30
Via Simone Corleo,30
Via Giovanni Pascoli,30
Via Gioeni,30
Via Liborio Giuffrè,30
Viale Regina Margherita,30
Via Ragusa Moleti,-1
Via Mario Rapisardi,30
Via Parrocchia dei Tartari,30
Via Padre Cangemi,30
Via della Concezione,30
Via M.P. Marcatajo,-1
Via Aleardo Aleardi,30
Via Giovanni Gentile,30
Via Andrea Cirrincione,30
Via Monfenera,30
Via Liguria,30
Piazza Enrico D'Orleans,30
Via Simone di Bologna,-1
Via Paolo Paternostro,50
Piazzetta Santa Sofia,30
Via Lume,-1
Via Riccardo da Lentini,-1
Via Michele Collura,30
Via San Vincenzo de' Paoli,30
Largo primavera,30
Vicolo delle Ruote,-1
Via Lampedusa,30
Via Ammiraglio Gustavo Nicastro,30
Via G. Stazzone,-1
Via Imera,30
La Vucciria,-1
Passaggio Gino Marinuzzi,-1
Via Generale Carlo Alberto Dalla Chiesa,-1
Vicolo dello Zingaro,-1
Via Pietro Platania,30
Piazzale degli Alpini,-1
Vicolo Felice,30
Largo Villaura,30
Piazza Crispi,50
Via Alberto Favara,30
Piazzetta Zimmalari,30
Via Fiorello La Guardia,30
Via Antonio Tantillo,30
Via Giovanni Travaglia,30
Via Saverio Latteri,30
Via Trieste,30
Via 20 settembre,30
Viale Strasburgo,30
via Giorgio Di Faccio,30
Piazzetta Visita Poveri,30
Via Quattro Coronati,30
Via Rosario Gregorio,30
Via Filippo Turati,-1
Via Pomara,70
Via Valerio Villareale,30
Viale Ercole,70
Via Bernardino d'Ucria,30
Via Francesco Lo Jacono,30
Via Falzone,-1
Via Scorzadenaro,-1
Via Normanni,-1
Via Marchese Ugo,30
Piazza Borsa,30
Via Pietro Villasevaglios,30
Via Padre Francesco Spoto,30
Via Calogero Cangelosi,30
Via dell'Ancora,30
Via Fiume,30
Via Salvatore Cappello,-1
Via B. Bonaiuto,-1
Via Filippo Evola,30
Via Giorgio D'Antiochia,30
Cortile Tre Denari,-1
Vicolo Caracausi,-1
Piazza Domenico Peranni,-1
Via Belvedere,30
Via Filippo Marini,30
accesso parking sotterraneo,-1
Via Scipione Li Volsi,30
Via Ernesto Tricomi,30
Via Germania,30
Via Alia,-1
Via Montesanto,30
Piazza Principe di Camporeale,30
Via Sicilia,-1
Via Domenico Di Marco,30
Via A. Giardina,-1
Via Rosario Ponziano,30
Via San Giovanni Bosco,30
Piazza Carlo Maria Ventimiglia,30
Via Cesare Bione,-1
Piazza Porta Carini,-1
Via Tina di Lorenzo,30
Via Agostino Todaro,30
Via Volturno,30
Via Austria,-1
Via Piersanti Mattarella,-1
Via G. Benincasa,-1
Via Salvatore Spataro,30
Piazza Tredici Vittime,30
Via Casalaina,30
Via Francesco Paolo di Blasi,30
