Cortile Maqueda,[['pedestrian', -1]]
Via Albergheria,[['residential', -1], ['residential', -1], ['residential', -1]]
Vicolo Teatro Bellini,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Gaspare Serenario,[['residential', -1]]
Via Resuttana,[['residential', -1]]
Piazza San Francesco d'Assisi,[['pedestrian', -1]]
Piazza Sant'Onofrio,[['residential', -1], ['residential', -1]]
Via Toscana,[['residential', -1], ['residential', -1]]
Vicolo dei Benedettini,[['residential', -1]]
Via Al Convento di Baida,[['residential', -1]]
Via Catalano,[['service', -1]]
Via Giovan Battista Vaccarini,[['residential', -1], ['residential', -1]]
Via Aloi,[['unclassified', -1]]
Via Madre Carmela Prestigiacomo,[['residential', '50']]
Piazza del Ponticello,[['residential', -1]]
Viale Teocrito,[['residential', -1], ['residential', -1]]
Via Palchetto,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Raffaele La Valle,[['residential', -1]]
Vicolo Vernagallo,[['service', -1]]
Via Alberto Rallo,[['residential', -1], ['residential', -1]]
Via G.Mustica,[['unclassified', -1]]
Piazza Zisa,[['residential', -1]]
Via Termini,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Agostino Gallo,[['residential', -1]]
Via Teatro Garibaldi,[['residential', -1]]
Via Carmelo Onorato,[['unclassified', -1]]
Via della Regia Zecca,[['residential', -1]]
Via Crociferi,[['residential', -1], ['residential', -1]]
Salita della Intendenza,[['residential', -1]]
Via Francesco Matera,[['residential', -1]]
Via Giacomo Puccini,[['residential', -1]]
Via Pasquale Prestisimone,[['residential', -1]]
Via Cesare Battisti,[['residential', -1]]
Via Valverde,[['residential', -1]]
Vicolo Averna,[['service', -1]]
Via Brigata Verona,[['secondary', -1], ['secondary', -1]]
Via Portogallo,[['residential', -1]]
Piazza Meschita,[['residential', -1]]
Via Mammana,[['unclassified', -1]]
Vicolo della Grotta,[['service', -1]]
Vicolo delle Vergini,[['service', -1]]
Via Santa Rita,[['residential', -1]]
Via Santissimo Salvatore,[['residential', -1]]
Via Maio Biondo,[['unclassified', -1]]
Piazzetta Lucrezia Brunaccini,[['residential', -1], ['service', -1]]
Via Aldo Pinelli,[['residential', -1]]
Largo La Loggia,[['residential', -1], ['residential', -1]]
Via Cluverio,[['residential', -1], ['residential', -1]]
Largo Cavalieri di Malta,[['residential', -1], ['pedestrian', -1]]
Vicolo delle Travi,[['service', -1]]
Via Enrico Toti,[['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50']]
Largo Camastra,[['residential', -1]]
Via Girolamo Grimaldi,[['unclassified', -1]]
Via delle Industrie Navali,[['unclassified', -1]]
Corso Re Ruggero,[['primary', -1], ['primary', -1], ['secondary', -1]]
Largo Leone XIII,[['residential', -1], ['residential', -1]]
Via Centuripe,[['unclassified', -1]]
Corso Alberto Amedeo,[['secondary', -1], ['secondary', -1], ['secondary', '50'], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['secondary', -1]]
Via Stefano di Chiara,[['residential', -1]]
Piazzetta Luigi La Porta,[['residential', -1]]
Fondo Galletti,[['unclassified', -1]]
Via Val Demone,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Francesco Pasqualino,[['residential', -1]]
Via Salvatore Bertini,[['residential', -1]]
Via Roccazzo,[['secondary', -1], ['secondary', -1], ['tertiary', -1]]
Vicolo del Sant'Uffizio,[['service', -1]]
Via Buzzanca,[['unclassified', -1]]
Via Ugo Foscolo,[['residential', -1]]
Via Simone Schiaffino,[['residential', -1]]
Via Ammiraglio Thaon de Ravel,[['residential', -1]]
Cortile Balate,[['service', -1]]
Via Puglia,[['residential', -1]]
Via Li Puma,[['unclassified', -1]]
Via Agordat,[['residential', -1]]
Via Tiziano,[['residential', -1]]
Via Messina Marine,[['primary', -1], ['primary', -1], ['primary', -1], ['primary', -1], ['primary', -1], ['primary', -1]]
Via Cosmo Guastella,[['residential', -1], ['residential', -1]]
